YOU  Y UW
HAS  HH AE Z
HAS(1)  HH AH Z
SOMETHING  S AH M TH IH NG
TOO  T UW
NEED  N IY D
MORE  M AO R
WAY  W EY
DOWN  D AW N
MAKE  M EY K
NEVER  N EH V ER
VERY  V EH R IY
ONLY  OW N L IY
OVER  OW V ER
PEOPLE  P IY P AH L
BECAUSE  B IH K AO Z
BECAUSE(1)  B IH K AH Z
BECAUSE(2)  B IH K AA Z
BECAUSE(3)  B IH K AH Z
LITTLE  L IH T AH L
PLEASE  P L IY Z
LOVE  L AH V
GIVE  G IH V
SHOULD  SH UH D
SORRY  S AA R IY
SAID  S EH D
MEAN  M IY N
OFF  AO F
AM  AE M
AM(1)  EY EH M
ANY  EH N IY
TWO  T UW
THANK  TH AE NG K
EVEN  IY V IH N
MUCH  M AH CH
DOING  D UW IH NG
SURE  SH UH R
THING  TH IH NG
THESE  DH IY Z
HELP  HH EH L P
FIRST  F ER S T
INTO  IH N T UW
INTO(1)  IH N T UW
INTO(2)  IH N T AH
ANYTHING  EH N IY TH IH NG
STILL  S T IH L
SIR  S ER
LIFE  L AY F
NOTHING  N AH TH IH NG
FIND  F AY N D
GOD  G AA D
DAY  D EY
WORK  W ER K
AGAIN  AH G EH N
AGAIN(1)  AH G EY N
MUST  M AH S T
THEIR  DH EH R
WON  W AH N
WON(1)  W AA N
STOP  S T AA P
MAYBE  M EY B IY
CALL  K AO L
WAIT  W EY T
BEFORE  B IH F AO R
BEFORE(1)  B IY F AO R
OTHER  AH DH ER
AWAY  AH W EY
TALK  T AO K
AFTER  AE F T ER
NIGHT  N AY T
HOME  HH OW M
UH  AH
THAN  DH AE N
THAN(1)  DH AH N
THOUGHT  TH AO T
PUT  P UH T
GREAT  G R EY T
LAST  L AE S T
THOSE  DH OW Z
BETTER  B EH T ER
EVERYTHING  EH V R IY TH IH NG
TOLD  T OW L D
NEW  N UW
NEW(1)  N Y UW
ALWAYS  AO L W EY Z
ALWAYS(1)  AO L W IY Z
THINGS  TH IH NG Z
LONG  L AO NG
KEEP  K IY P
LEAVE  L IY V
YEARS  Y IH R Z
MONEY  M AH N IY
DOES  D AH Z
DOES(1)  D IH Z
AROUND  ER AW N D
AROUND(1)  ER AW N
NAME  N EY M
FATHER  F AA DH ER
GUY  G AY
PLACE  P L EY S
FEEL  F IY L
EVER  EH V ER
GUYS  G AY Z
OLD  OW L D
MADE  M EY D
BIG  B IH G
WHICH  W IH CH
WHICH(1)  HH W IH CH
NICE  N AY S
NICE(1)  N IY S
GIRL  G ER L
HELLO  HH AH L OW
HELLO(1)  HH EH L OW
BELIEVE  B IH L IY V
DONE  D AH N
OK  OW K EY
LOT  L AA T
LOT(1)  L AO T
FINE  F AY N
SOMEONE  S AH M W AH N
THANKS  TH AE NG K S
HOUSE  HH AW S
WANTED  W AO N T IH D
COMING  K AH M IH NG
KIND  K AY N D
EVERY  EH V ER IY
EVERY(1)  EH V R IY
STAY  S T EY
LEFT  L EH F T
MOTHER  M AH DH ER
THROUGH  TH R UW
BEING  B IY IH NG
ENOUGH  IH N AH F
ENOUGH(1)  IY N AH F
MAY  M EY
COURSE  K AO R S
DAD  D AE D
HAPPENED  HH AE P AH N D
WRONG  R AO NG
LISTEN  L IH S AH N
BAD  B AE D
CAME  K EY M
UNDERSTAND  AH N D ER S T AE N D
THREE  TH R IY
TODAY  T AH D EY
TODAY(1)  T UW D EY
WORLD  W ER L D
ANOTHER  AH N AH DH ER
HEAR  HH IY R
REMEMBER  R IH M EH M B ER
REMEMBER(1)  R IY M EH M B ER
MIGHT  M AY T
ASK  AE S K
OWN  OW N
SAME  S EY M
KILL  K IH L
SHOW  SH OW
ELSE  EH L S
TALKING  T AO K IH NG
FOUND  F AW N D
CARE  K EH R
SON  S AH N
CAR  K AA R
NEXT  N EH K S T
NEXT(1)  N EH K S
GETTING  G EH T IH NG
GETTING(1)  G IH T IH NG
TRY  T R AY
LOOKING  L UH K IH NG
WOMAN  W UH M AH N
DEAD  D EH D
HI  HH AY
WENT  W EH N T
MANY  M EH N IY
FRIEND  F R EH N D
MIND  M AY N D
HELL  HH EH L
MOM  M AA M
BOY  B OY
BEST  B EH S T
YOURSELF  Y ER S EH L F
YOURSELF(1)  Y UH R S EH L F
YOURSELF(2)  Y AO R S EH L F
MORNING  M AO R N IH NG
TOGETHER  T AH G EH DH ER
SAW  S AO
TRYING  T R AY IH NG
TRYING(1)  T R AY NG
JOB  JH AA B
JOB(1)  JH OW B
WITHOUT  W IH TH AW T
WITHOUT(1)  W IH DH AW T
REAL  R IY L
BABY  B EY B IY
FAMILY  F AE M AH L IY
FAMILY(1)  F AE M L IY
ROOM  R UW M
MOVE  M UW V
ALREADY  AO L R EH D IY
ALREADY(1)  AO R EH D IY
LIVE  L AY V
LIVE(1)  L IH V
SEEN  S IY N
MISS  M IH S
MOST  M OW S T
MOST(1)  M OW S
SHIT  SH IH T
ACTUALLY  AE K CH UW AH L IY
ACTUALLY(1)  AE K CH L IY
ACTUALLY(2)  AE K SH AH L IY
ONCE  W AH N S
HEARD  HH ER D
BROTHER  B R AH DH ER
HEAD  HH EH D
READY  R EH D IY
HAPPY  HH AE P IY
HUH  HH AH
HOLD  HH OW L D
SUCH  S AH CH
CALLED  K AO L D
BOTH  B OW TH
USED  Y UW Z D
KNEW  N UW
KNEW(1)  N Y UW
MEN  M EH N
HAVEN  HH EY V AH N
IDEA  AY D IY AH
WIFE  W AY F
YET  Y EH T
TOOK  T UH K
FUCK  F AH K
ALSO  AO L S OW
PRETTY  P R IH T IY
DAYS  D EY Z
SINCE  S IH N S
WHILE  W AY L
WHILE(1)  HH W AY L
WHOLE  HH OW L
TOMORROW  T AH M AA R OW
TOMORROW(1)  T UW M AA R OW
START  S T AA R T
USE  Y UW S
USE(1)  Y UW Z
DOOR  D AO R
BIT  B IH T
MATTER  M AE T ER
BRING  B R IH NG
MEET  M IY T
TONIGHT  T AH N AY T
TONIGHT(1)  T UW N AY T
GUESS  G EH S
RUN  R AH N
ALONE  AH L OW N
EVERYONE  EH V R IY W AH N
SCHOOL  S K UW L
GONE  G AO N
HARD  HH AA R D
MYSELF  M AY S EH L F
WANNA  W AA N AH
PLAY  P L EY
PROBLEM  P R AA B L AH M
END  EH N D
SAYING  S EY IH NG
OPEN  OW P AH N
FRIENDS  F R EH N D Z
FUCKING  F AH K IH NG
AGO  AH G OW
KILLED  K IH L D
LOOKS  L UH K S
FEW  F Y UW
GOTTA  G AA T AH
AH  AA
ANYONE  EH N IY W AH N
ANYONE(1)  EH N IY W AH N
PHONE  F OW N
HOPE  HH OW P
LOST  L AO S T
EXCUSE  IH K S K Y UW S
EXCUSE(1)  IH K S K Y UW Z
FACE  F EY S
UM  AH M
UNTIL  AH N T IH L
DIE  D AY
TURN  T ER N
POLICE  P AH L IY S
HEART  HH AA R T
WANTS  W AA N T S
WANTS(1)  W AO N T S
SAYS  S EH Z
SAYS(1)  S IH Z
TRUE  T R UW
WORRY  W ER IY
SOON  S UW N
BUSINESS  B IH Z N AH S
BUSINESS(1)  B IH Z N IH S
CASE  K EY S
LATER  L EY T ER
EACH  IY CH
WATCH  W AA CH
WATCH(1)  W AO CH
YEAR  Y IH R
HAND  HH AE N D
HAVING  HH AE V IH NG
BEAUTIFUL  B Y UW T AH F AH L
DOCTOR  D AA K T ER
DOCTOR(1)  D AO K T ER
EAT  IY T
SIT  S IH T
PROBABLY  P R AA B AH B L IY
THINKING  TH IH NG K IH NG
LATE  L EY T
FORGET  F ER G EH T
FORGET(1)  F AO R G EH T
YOUNG  Y AH NG
SECOND  S EH K AH N D
KIDS  K IH D Z
KID  K IH D
PAY  P EY
CRAZY  K R EY Z IY
WATER  W AO T ER
DEATH  D EH TH
WORKING  W ER K IH NG
UNDER  AH N D ER
STUFF  S T AH F
MINUTE  M IH N AH T
MINUTE(1)  M AY N UW T
MINUTE(2)  M AY N Y UW T
PART  P AA R T
PERSON  P ER S AH N
EVERYBODY  EH V R IY B AA D IY
DAMN  D AE M
DRINK  D R IH NG K
GAVE  G EY V
CHANGE  CH EY N JH
EXACTLY  IH G Z AE K T L IY
HAPPEN  HH AE P AH N
SHUT  SH AH T
FIVE  F AY V
KNOWS  N OW Z
EYES  AY Z
HIT  HH IH T
FAR  F AA R
AREN  AA R AH N
EASY  IY Z IY
WHATEVER  W AH T EH V ER
WHATEVER(1)  HH W AH T EH V ER
ITS  IH T S
ITS(1)  IH T S
HANDS  HH AE N D Z
HANDS(1)  HH AE N Z
TAKING  T EY K IH NG
TIMES  T AY M Z
CHECK  CH EH K
MINUTES  M IH N AH T S
MUSIC  M Y UW Z IH K
INSIDE  IH N S AY D
INSIDE(1)  IH N S AY D
SLEEP  S L IY P
MEANS  M IY N Z
SOMEBODY  S AH M B AA D IY
SOMEBODY(1)  S AH M B AH D IY
MINE  M AY N
DEAL  D IY L
DIFFERENT  D IH F ER AH N T
DIFFERENT(1)  D IH F R AH N T
ASKED  AE S K T
ASKED(1)  AE S T
MAKES  M EY K S
POINT  P OY N T
AFRAID  AH F R EY D
BODY  B AA D IY
ANYWAY  EH N IY W EY
DEAR  D IH R
FOUR  F AO R
SHALL  SH AE L
CHANCE  CH AE N S
CLOSE  K L OW S
CLOSE(1)  K L OW Z
MAKING  M EY K IH NG
WAITING  W EY T IH NG
PARTY  P AA R T IY
DAUGHTER  D AO T ER
COMES  K AH M Z
WORD  W ER D
AGAINST  AH G EH N S T
AGAINST(1)  AH G EY N S T
FUN  F AH N
NUMBER  N AH M B ER
MARRIED  M EH R IY D
HURT  HH ER T
STORY  S T AO R IY
SET  S EH T
WISH  W IH SH
LEAST  L IY S T
QUITE  K W AY T
IMPORTANT  IH M P AO R T AH N T
GIRLS  G ER L Z
HUSBAND  HH AH Z B AH N D
FIRE  F AY ER
FIRE(1)  F AY R
NOBODY  N OW B AA D IY
NOBODY(1)  N OW B AH D IY
FIGHT  F AY T
CHILDREN  CH IH L D R AH N
REST  R EH S T
MOMENT  M OW M AH N T
WEEK  W IY K
READ  R EH D
READ(1)  R IY D
STAND  S T AE N D
GAME  G EY M
CUT  K AH T
SISTER  S IH S T ER
SPEAK  S P IY K
CHILD  CH AY L D
SIDE  S AY D
WOMEN  W IH M AH N
SUPPOSED  S AH P OW Z D
STARTED  S T AA R T AH D
STARTED(1)  S T AA R T IH D
BETWEEN  B IH T W IY N
BETWEEN(1)  B IY T W IY N
HOURS  AW ER Z
HOURS(1)  AW R Z
GOES  G OW Z
BLOOD  B L AH D
THOUGH  DH OW
TRUTH  T R UW TH
LADY  L EY D IY
ANYMORE  EH N IY M AO R
BEHIND  B IH HH AY N D
ALMOST  AO L M OW S T
SHOT  SH AA T
GETS  G EH T S
GETS(1)  G IH T S
WAR  W AO R
BREAK  B R EY K
WALK  W AO K
WALK(1)  W AA K
YOURS  Y UH R Z
YOURS(1)  Y AO R Z
YOURS(2)  Y ER Z
ABLE  EY B AH L
REASON  R IY Z AH N
TROUBLE  T R AH B AH L
MET  M EH T
CITY  S IH T IY
TOWN  T AW N
TRUST  T R AH S T
MR  M IH S T ER
BROUGHT  B R AO T
DIED  D AY D
QUESTION  K W EH S CH AH N
QUESTION(1)  K W EH SH AH N
BUY  B AY
OFFICE  AO F AH S
HALF  HH AE F
BYE  B AY
HIGH  HH AY
FREE  F R IY
S  EH S
WELCOME  W EH L K AH M
COUPLE  K AH P AH L
EITHER  IY DH ER
EITHER(1)  AY DH ER
HURRY  HH ER IY
TELLING  T EH L IH NG
STUPID  S T UW P AH D
STUPID(1)  S T UW P IH D
HONEY  HH AH N IY
POWER  P AW ER
WOW  W AW
TRIED  T R AY D
BED  B EH D
FRONT  F R AH N T
COOL  K UW L
ANSWER  AE N S ER
PLAYING  P L EY IH NG
SEEMS  S IY M Z
BOYS  B OY Z
SEND  S EH N D
GUN  G AH N
LINE  L AY N
TEAM  T IY M
NEWS  N UW Z
NEWS(1)  N Y UW Z
MONTHS  M AH N TH S
CAPTAIN  K AE P T AH N
SAVE  S EY V
FULL  F UH L
HATE  HH EY T
SOMETIMES  S AH M T AY M Z
SOMETIMES(1)  S AH M T AY M Z
BECOME  B IH K AH M
WHOA  W OW
WHOA(1)  HH W OW
WHOA(2)  HH OW
LORD  L AO R D
ALONG  AH L AO NG
DOG  D AO G
OUTSIDE  AW T S AY D
FOOD  F UW D
LIGHT  L AY T
ORDER  AO R D ER
HOT  HH AA T
FUNNY  F AH N IY
CLEAR  K L IH R
NEEDS  N IY D Z
SIX  S IH K S
COUNTRY  K AH N T R IY
ALIVE  AH L AY V
PICK  P IH K
EM  EH M
FACT  F AE K T
AHEAD  AH HH EH D
BLACK  B L AE K
BOSS  B AA S
BOSS(1)  B AO S
LIVING  L IH V IH NG
LOSE  L UW Z
FEELING  F IY L IH NG
LEAVING  L IY V IH NG
CAUSE  K AA Z
CAUSE(1)  K AO Z
DINNER  D IH N ER
PROMISE  P R AA M AH S
KING  K IH NG
RUNNING  R AH N IH NG
PLAN  P L AE N
TAKEN  T EY K AH N
SORT  S AO R T
BOOK  B UH K
MA  M AA
SENT  S EH N T
ANYBODY  EH N IY B AH D IY
HOUR  AW ER
HOUR(1)  AW R
WHITE  W AY T
WHITE(1)  HH W AY T
SMALL  S M AO L
ALRIGHT  AO L R AY T
SICK  S IH K
PARENTS  P EH R AH N T S
UNCLE  AH NG K AH L
LIVES  L IH V Z
LIVES(1)  L AY V Z
SAFE  S EY F
PERFECT  P ER F EH K T
PERFECT(1)  P ER F IH K T
POOR  P UW R
ASS  AE S
SHOOT  SH UW T
SCARED  S K EH R D
SPECIAL  S P EH SH AH L
SERIOUS  S IH R IY AH S
HIMSELF  HH IH M S EH L F
RED  R EH D
PERHAPS  P ER HH AE P S
TOUCH  T AH CH
EARTH  ER TH
JOHN  JH AA N
SOUNDS  S AW N D Z
SOUNDS(1)  S AW N Z
COMPANY  K AH M P AH N IY
PAST  P AE S T
CANNOT  K AE N AA T
CANNOT(1)  K AH N AA T
POSSIBLE  P AA S AH B AH L
BITCH  B IH CH
HA  HH AA
SOUND  S AW N D
SIGHS  S AY Z
HAIR  HH EH R
HUMAN  HH Y UW M AH N
HUMAN(1)  Y UW M AH N
DRIVE  D R AY V
LUCK  L AH K
ASKING  AE S K IH NG
TOP  T AA P
TOP(1)  T AO P
WIN  W IH N
GLAD  G L AE D
DADDY  D AE D IY
CONTROL  K AH N T R OW L
O  OW
COLD  K OW L D
TEN  T EH N
AIR  EH R
HAPPENS  HH AE P AH N Z
MASTER  M AE S T ER
JACK  JH AE K
TILL  T IH L
DANCE  D AE N S
SEX  S EH K S
OTHERS  AH DH ER Z
HOSPITAL  HH AA S P IH T AH L
STREET  S T R IY T
HANG  HH AE NG
FAST  F AE S T
WORDS  W ER D Z
FOLLOW  F AA L OW
SEEM  S IY M
MURDER  M ER D ER
FINALLY  F AY N AH L IY
LIE  L AY
DREAM  D R IY M
CATCH  K AE CH
WRITE  R AY T
EVENING  IY V N IH NG
MEETING  M IY T IH NG
SWEET  S W IY T
HMM  HH AH M
SENSE  S EH N S
LUCKY  L AH K IY
KNOWN  N OW N
LAUGHS  L AE F S
JESUS  JH IY Z AH S
BET  B EH T
VOICE  V OY S
SIGN  S AY N
MILLION  M IH L Y AH N
QUIET  K W AY AH T
FELT  F EH L T
RATHER  R AE DH ER
RATHER(1)  R AH DH ER
CAREFUL  K EH R F AH L
SOMEWHERE  S AH M W EH R
LONGER  L AO NG G ER
BEAT  B IY T
RETURN  R IH T ER N
RETURN(1)  R IY T ER N
LAUGHING  L AE F IH NG
COFFEE  K AA F IY
COFFEE(1)  K AO F IY
DATE  D EY T
PULL  P UH L
SECRET  S IY K R AH T
SECRET(1)  S IY K R IH T
CALLING  K AO L IH NG
LESS  L EH S
T  T IY
LOOKED  L UH K T
WORKED  W ER K T
WEEKS  W IY K S
FAULT  F AO L T
GENTLEMEN  JH EH N T AH L M IH N
GENTLEMEN(1)  JH EH N AH L M IH N
FALL  F AO L
FALL(1)  F AA L
GIVEN  G IH V AH N
GIVEN(1)  G IH V IH N
SEEING  S IY IH NG
SONG  S AO NG
STRAIGHT  S T R EY T
CALM  K AA M
CALM(1)  K AA L M
CHANGED  CH EY N JH D
MAD  M AE D
LOVED  L AH V D
TAKES  T EY K S
ROAD  R OW D
LEARN  L ER N
DROP  D R AA P
DROP(1)  D R AO P
WONDERFUL  W AH N D ER F AH L
FUTURE  F Y UW CH ER
LADIES  L EY D IY Z
EXPLAIN  IH K S P L EY N
CHUCKLES  CH AH K AH L Z
CLEAN  K L IY N
THROW  TH R OW
EARLY  ER L IY
YESTERDAY  Y EH S T ER D EY
YESTERDAY(1)  Y EH S T ER D IY
STEP  S T EH P
TURNED  T ER N D
FEET  F IY T
PIECE  P IY S
PICTURE  P IH K CH ER
LAND  L AE N D
QUICK  K W IH K
WONDER  W AH N D ER
WORTH  W ER TH
DARLING  D AA R L IH NG
QUESTIONS  K W EH S CH AH N Z
ABSOLUTELY  AE B S AH L UW T L IY
PRESIDENT  P R EH Z IH D AH N T
EYE  AY
GIVING  G IH V IH NG
OOH  UW
NONE  N AH N
DUDE  D UW D
MOVING  M UW V IH NG
STATE  S T EY T
ONES  W AH N Z
SPEAKING  S P IY K IH NG
FIGURE  F IH G Y ER
GOODBYE  G UH D B AY
SAM  S AE M
STRANGE  S T R EY N JH
STRONG  S T R AO NG
ACT  AE K T
WEDDING  W EH D IH NG
LAW  L AO
LAW(1)  L AA
KISS  K IH S
WORKS  W ER K S
REPORT  R IY P AO R T
REPORT(1)  R IH P AO R T
TIRED  T AY ER D
PAIN  P EY N
MARRY  M EH R IY
PASS  P AE S
WAKE  W EY K
KIDDING  K IH D IH NG
GENERAL  JH EH N ER AH L
GENERAL(1)  JH EH N R AH L
MISSING  M IH S IH NG
SHIP  SH IH P
NEEDED  N IY D AH D
NEEDED(1)  N IY D IH D
CHOICE  CH OY S
CLASS  K L AE S
WEIRD  W IH R D
WORRIED  W ER IY D
OFFICER  AO F AH S ER
OFFICER(1)  AO F IH S ER
DECIDED  D IH S AY D IH D
AMAZING  AH M EY Z IH NG
BUSY  B IH Z IY
KEPT  K EH P T
KEPT(1)  K AE P T
WORSE  W ER S
HAPPENING  HH AE P AH N IH NG
HAPPENING(1)  HH AE P N IH NG
MISTAKE  M IH S T EY K
CHIEF  CH IY F
YA  Y AA
FORGIVE  F ER G IH V
FORGIVE(1)  F AO R G IH V
AGE  EY JH
SELL  S EH L
MICHAEL  M AY K AH L
MOUTH  M AW TH
CAUGHT  K AA T
CAUGHT(1)  K AO T
FINISH  F IH N IH SH
DURING  D UH R IH NG
DURING(1)  D Y UH R IH NG
DURING(2)  D ER IH NG
CLOTHES  K L OW DH Z
CLOTHES(1)  K L OW Z
RIDE  R AY D
BIRTHDAY  B ER TH D EY
MEANT  M EH N T
BORN  B AO R N
WATCHING  W AA CH IH NG
BUILDING  B IH L D IH NG
DARK  D AA R K
EH  EH
SYSTEM  S IH S T AH M
SING  S IH NG
FILM  F IH L M
COURT  K AO R T
TV  T IY V IY
TV(1)  T EH L AH V IH ZH AH N
MOVIE  M UW V IY
MONTH  M AH N TH
WEAR  W EH R
TRAIN  T R EY N
LYING  L AY IH NG
SEVEN  S EH V AH N
TOTALLY  T OW T AH L IY
IMAGINE  IH M AE JH AH N
HOTEL  HH OW T EH L
EVIDENCE  EH V AH D AH N S
SECURITY  S IH K Y UH R AH T IY
COMPLETELY  K AH M P L IY T L IY
SUPPOSE  S AH P OW Z
INSTEAD  IH N S T EH D
CHRISTMAS  K R IH S M AH S
UNLESS  AH N L EH S
INFORMATION  IH N F AO R M EY SH AH N
BAG  B AE G
CERTAINLY  S ER T AH N L IY
ATTACK  AH T AE K
BROKE  B R OW K
ROUND  R AW N D
EXPECT  IH K S P EH K T
NEAR  N IH R
BLUE  B L UW
TERRIBLE  T EH R AH B AH L
THINKS  TH IH NG K S
DEFINITELY  D EH F AH N AH T L IY
FOREVER  F ER EH V ER
FRANK  F R AE NG K
STATION  S T EY SH AH N
EXCEPT  IH K S EH P T
TABLE  T EY B AH L
MESSAGE  M EH S AH JH
MESSAGE(1)  M EH S IH JH
HISTORY  HH IH S T ER IY
HISTORY(1)  HH IH S T R IY
SWEAR  S W EH R
GEORGE  JH AO R JH
FOOL  F UW L
TALKED  T AO K T
RING  R IH NG
BUDDY  B AH D IY
ENTIRE  IH N T AY ER
LOVELY  L AH V L IY
FLOOR  F L AO R
SUN  S AH N
HANDLE  HH AE N D AH L
ARMY  AA R M IY
DAVID  D EY V IH D
D  D IY
JOE  JH OW
SPEND  S P EH N D
CHARLIE  CH AA R L IY
ACROSS  AH K R AO S
FINISHED  F IH N IH SH T
MARRIAGE  M EH R IH JH
LETTER  L EH T ER
RAN  R AE N
SERIOUSLY  S IH R IY AH S L IY
PAID  P EY D
BOUGHT  B AA T
BOUGHT(1)  B AO T
YORK  Y AO R K
ATTENTION  AH T EH N SH AH N
ANYWHERE  EH N IY W EH R
ANYWHERE(1)  EH N IY HH W EH R
DANGEROUS  D EY N JH ER AH S
PEACE  P IY S
SIMPLE  S IH M P AH L
FORGOT  F ER G AA T
FORGOT(1)  F AO R G AA T
SITUATION  S IH CH UW EY SH AH N
MIDDLE  M IH D AH L
ROCK  R AA K
TEST  T EH S T
LEAD  L EH D
LEAD(1)  L IY D
PROTECT  P R AH T EH K T
CLUB  K L AH B
FEAR  F IH R
FAIR  F EH R
PRESENT  P R EH Z AH N T
PRESENT(1)  P R IY Z EH N T
PRESENT(2)  P ER Z EH N T
IDIOT  IH D IY AH T
JOIN  JH OY N
INTERESTING  IH N T AH R EH S T IH NG
TOM  T AA M
BILL  B IH L
BOX  B AA K S
SITTING  S IH T IH NG
SHORT  SH AO R T
BALL  B AO L
SINGLE  S IH NG G AH L
GROUP  G R UW P
USING  Y UW Z IH NG
ENJOY  EH N JH OY
NORMAL  N AO R M AH L
BOAT  B OW T
COUNT  K AW N T
BASTARD  B AE S T ER D
CRIME  K R AY M
KEY  K IY
FORCE  F AO R S
HORSE  HH AO R S
LUNCH  L AH N CH
AMERICAN  AH M EH R IH K AH N
QUICKLY  K W IH K L IY
PAPER  P EY P ER
CHARGE  CH AA R JH
MIKE  M AY K
SURPRISE  S ER P R AY Z
SURPRISE(1)  S AH P R AY Z
SPACE  S P EY S
FELL  F EH L
HONOR  AA N ER
EIGHT  EY T
ACCIDENT  AE K S AH D AH N T
WEARING  W EH R IH NG
FISH  F IH SH
BAR  B AA R
GROUND  G R AW N D
PROBLEMS  P R AA B L AH M Z
GOVERNMENT  G AH V ER N M AH N T
MILES  M AY L Z
MILES(1)  M AY AH L Z
RELAX  R IH L AE K S
RELAX(1)  R IY L AE K S
CRYING  K R AY IH NG
BANK  B AE NG K
COVER  K AH V ER
MAJOR  M EY JH ER
STOPPED  S T AA P T
INTERESTED  IH N T AH R EH S T IH D
HIDE  HH AY D
STICK  S T IH K
SEA  S IY
TEA  T IY
AREA  EH R IY AH
AGREE  AH G R IY
DIFFICULT  D IH F AH K AH L T
PERSONAL  P ER S IH N AH L
DEEP  D IY P
DRESS  D R EH S
SERVICE  S ER V AH S
SERVICE(1)  S ER V IH S
CERTAIN  S ER T AH N
TRIP  T R IH P
RADIO  R EY D IY OW
BLOW  B L OW
SMART  S M AA R T
MARK  M AA R K
STAR  S T AA R
RECORD  R AH K AO R D
RECORD(1)  R EH K ER D
RECORD(2)  R IH K AO R D
OFFER  AO F ER
AMERICA  AH M EH R IH K AH
PRISON  P R IH Z AH N
ANGRY  AE NG G R IY
PETER  P IY T ER
SOUL  S OW L
RICH  R IH CH
LIST  L IH S T
GOLD  G OW L D
AFTERNOON  AE F T ER N UW N
WHETHER  W EH DH ER
WHETHER(1)  HH W EH DH ER
Y  W AY
AGENT  EY JH AH N T
MISSED  M IH S T
PROUD  P R AW D
DETECTIVE  D IH T EH K T IH V
FIX  F IH K S
RESPECT  R IH S P EH K T
RESPECT(1)  R IY S P EH K T
PUBLIC  P AH B L IH K
FIGHTING  F AY T IH NG
GIRLFRIEND  G ER L F R EH N D
DRUNK  D R AH NG K
PARK  P AA R K
KILLING  K IH L IH NG
SAVED  S EY V D
BRAIN  B R EY N
FORWARD  F AO R W ER D
SAD  S AE D
CELL  S EH L
MESS  M EH S
STANDING  S T AE N D IH NG
SMELL  S M EH L
FLY  F L AY
KILLER  K IH L ER
TOUGH  T AH F
SCENE  S IY N
CARD  K AA R D
ENGLISH  IH NG G L IH SH
ENGLISH(1)  IH NG L IH SH
DARE  D EH R
BROKEN  B R OW K AH N
M  EH M
MARY  M EH R IY
HUNGRY  HH AH NG G R IY
CHURCH  CH ER CH
ICE  AY S
WINDOW  W IH N D OW
PAUL  P AO L
SHARE  SH EH R
THIRD  TH ER D
LAUGH  L AE F
CALLS  K AO L Z
OFTEN  AO F T AH N
OFTEN(1)  AO F AH N
